,u,w,n,agent,Ticket
417,[0.6597],303.8761,1,Agent D,True
418,[0.6297],298.3195,1,Agent D,True
419,"[0.9011, 0.2553]",181.5855,2,Agent A,True
420,[0.1232],163.4226,1,Agent B,True
421,[0.6208],296.6542,1,Agent D,True
422,[0.343],197.6,1,Agent A,True
423,[0.3785],205.5804,1,Agent A,True
424,"[0.7948, 0.7899, 0.771]",15.0,3,No agent reached,False
425,[0.0484],153.8744,1,Agent D,True
426,[0.44],218.8395,1,Agent A,True
427,[0.5558],266.2396,1,Agent B,True
428,[0.6772],307.0785,1,Agent D,True
429,[0.4285],258.4097,1,Agent D,True
430,"[0.9495, 0.9208, 0.1478]",199.0905,3,Agent D,True
431,[0.706],294.2893,1,Agent B,True
432,[0.0514],155.1782,1,Agent D,True
433,"[0.7756, 0.2245]",173.6521,2,Agent A,True
434,[0.2191],176.2247,1,Agent C,True
435,"[0.9718, 0.5427]",286.6802,2,Agent D,True
436,[0.7094],270.8998,1,Agent A,True
437,[0.5494],282.9918,1,Agent D,True
438,[0.683],308.1337,1,Agent D,True
439,[0.021],140.268,1,Agent D,True
440,[0.6297],265.3195,1,Agent C,True
441,[0.4289],258.4945,1,Agent D,True
442,"[0.9702, 0.9534, 0.7791]",15.0,3,No agent reached,False
443,[0.4103],221.5192,1,Agent C,True
444,[0.1896],201.2082,1,Agent D,True
445,[0.6852],290.5332,1,Agent B,True
446,[0.504],240.9958,1,Agent C,True
447,[0.626],279.6282,1,Agent B,True
448,"[0.9283, 0.9489, 0.7462]",296.4459,3,Agent C,True
449,[0.224],210.5204,1,Agent D,True
450,[0.2844],225.7921,1,Agent D,True
451,[0.6623],304.3536,1,Agent D,True
452,[0.3858],231.1899,1,Agent B,True
453,"[0.7709, 0.7291]",303.4178,2,Agent B,True
454,[0.2751],181.5169,1,Agent A,True
455,[0.308],213.4574,1,Agent B,True
456,[0.4787],268.8656,1,Agent D,True
457,[0.5179],276.7777,1,Agent D,True
458,[0.6637],262.6105,1,Agent A,True
459,[0.5536],265.8112,1,Agent B,True
460,[0.6304],298.4502,1,Agent D,True
461,[0.5782],270.5699,1,Agent B,True
462,[0.2154],166.2399,1,Agent A,True
463,"[0.8543, 0.2112]",212.1152,2,Agent D,True
464,[0.6884],309.1135,1,Agent D,True
465,[0.607],276.0562,1,Agent B,True
466,[0.4211],256.8346,1,Agent D,True
467,"[0.7979, 0.1016]",161.2565,2,Agent B,True
468,"[0.7731, 0.8396, 0.5543]",275.9476,3,Agent B,True
469,[0.2402],214.7385,1,Agent D,True
470,"[0.811, 0.5852]",276.9116,2,Agent B,True
471,[0.2384],214.2746,1,Agent D,True
472,[0.2224],210.0983,1,Agent D,True
473,"[0.8968, 0.528]",241.7836,2,Agent A,True
474,[0.6237],264.1977,1,Agent C,True
475,[0.1937],169.346,1,Agent C,True
476,[0.679],307.4063,1,Agent D,True
477,[0.4344],217.659,1,Agent A,True
478,[0.31],231.9307,1,Agent D,True
479,[0.3327],195.2338,1,Agent A,True
480,"[0.9046, 0.3729]",251.3387,2,Agent D,True
481,[0.6062],293.905,1,Agent D,True
482,[0.0061],130.0124,1,Agent D,True
483,[0.3941],251.0077,1,Agent D,True
484,"[0.8505, 0.6487]",306.8486,2,Agent D,True
485,[0.0534],156.0334,1,Agent D,True
486,[0.5883],290.5041,1,Agent D,True
487,[0.6637],271.6105,1,Agent C,True
488,[0.1063],157.8559,1,Agent B,True
489,[0.7499],320.098,1,Agent D,True
490,[0.3064],231.078,1,Agent D,True
491,[0.4118],236.842,1,Agent B,True
492,[0.251],217.4979,1,Agent D,True
493,[0.2255],168.9151,1,Agent A,True
494,[0.3691],227.4925,1,Agent B,True
495,[0.0125],134.9266,1,Agent D,True
496,[0.601],274.9205,1,Agent B,True
497,[0.0595],140.5782,1,Agent B,True
498,[0.5233],277.8518,1,Agent D,True
499,"[0.9686, 0.4041]",216.1809,2,Agent A,True
500,[0.6035],251.3942,1,Agent A,True
